neuron,cluster,formula,pair_num,pre,hyp
133,3,(((((NOT pre:tok:with) AND hyp:tok:inside) OR hyp:tok:couch) AND (NOT hyp:tok:are)) OR hyp:tok:indoors),0,"Two women are embracing while holding to go packages .
","The sisters are hugging goodbye while holding to go packages after just eating lunch .
"
133,3,(((((NOT pre:tok:with) AND hyp:tok:inside) OR hyp:tok:couch) AND (NOT hyp:tok:are)) OR hyp:tok:indoors),270,"A couple bows their head as a man in a decorative robe reads from a scroll in Asia with a black late model station wagon in the background .
","A black late model station wagon is in the background .
"
133,4,((((hyp:tok:inside AND pre:tok:and) OR hyp:tok:bedroom) AND (NOT pre:tok:at)) AND (NOT pre:tok:his)),15,"Under a blue sky with white clouds , a child reaches up to touch the propeller of a plane standing parked on a field of grass .
","A child is reaching to touch the propeller of a plane .
"
133,4,((((hyp:tok:inside AND pre:tok:and) OR hyp:tok:bedroom) AND (NOT pre:tok:at)) AND (NOT pre:tok:his)),71,"A taxi SUV drives past an urban construction site , as a man walks down the street in the other direction .
","A taxi SUV races to pick up some clients while a man walks peacefully in the other direction .
"
386,1,(((((NOT hyp:tok:woman) AND oth:overlap:overlap75) AND (NOT pre:tok:and)) OR hyp:tok:cake) AND (NOT pre:tok:young)),1,"Two women are embracing while holding to go packages .
","Two woman are holding packages .
"
386,1,(((((NOT hyp:tok:woman) AND oth:overlap:overlap75) AND (NOT pre:tok:and)) OR hyp:tok:cake) AND (NOT pre:tok:young)),2,"Two women are embracing while holding to go packages .
","The men are fighting outside a deli .
"
386,2,((((hyp:tok:man AND oth:overlap:overlap75) OR hyp:tok:not) OR hyp:tok:no) OR hyp:tok:cats),71,"A taxi SUV drives past an urban construction site , as a man walks down the street in the other direction .
","A taxi SUV races to pick up some clients while a man walks peacefully in the other direction .
"
386,2,((((hyp:tok:man AND oth:overlap:overlap75) OR hyp:tok:not) OR hyp:tok:no) OR hyp:tok:cats),134,"Men stand on steps leading out of a body of water
","Men are standing by a docked boat .
"
386,3,((((hyp:tok:chef OR pre:tok:desks) OR hyp:tok:appears) OR hyp:tok:families) OR hyp:tok:wave),0,"Two women are embracing while holding to go packages .
","The sisters are hugging goodbye while holding to go packages after just eating lunch .
"
386,3,((((hyp:tok:chef OR pre:tok:desks) OR hyp:tok:appears) OR hyp:tok:families) OR hyp:tok:wave),466,"A teenage girl in winter clothes slides down a decline in a red sled .
","A girl is sliding on a red sled .
"
386,4,((((hyp:tok:empty OR hyp:tok:falls) OR hyp:tok:place) AND oth:overlap:overlap50) OR hyp:tok:includes),89,"The two farmers are working on a piece of John Deere equipment .
","2 Men are making a pool together
"
386,4,((((hyp:tok:empty OR hyp:tok:falls) OR hyp:tok:place) AND oth:overlap:overlap50) OR hyp:tok:includes),173,"A man and a woman are looking at produce on display .
","A man and woman are looking at produce .
"
796,1,((((pre:tok:black OR pre:tok:stage) OR hyp:tok:not) OR pre:tok:throwing) OR hyp:tok:swimming),1,"Two women are embracing while holding to go packages .
","Two woman are holding packages .
"
796,1,((((pre:tok:black OR pre:tok:stage) OR hyp:tok:not) OR pre:tok:throwing) OR hyp:tok:swimming),2,"Two women are embracing while holding to go packages .
","The men are fighting outside a deli .
"
796,2,((((hyp:tok:bench OR hyp:tok:not) OR hyp:tok:no) OR hyp:tok:jet) OR pre:tok:candy),382,"A man is sitting in on the side of the street with brass pots .
","A man is sitting .
"
796,2,((((hyp:tok:bench OR hyp:tok:not) OR hyp:tok:no) OR hyp:tok:jet) OR pre:tok:candy),606,"Two basketball players in black and white outfits are standing on a basketball court , talking .
","The two basketball players are talking about an upcoming strategy .
"
796,3,((((hyp:tok:swimming OR pre:tok:cook) OR hyp:tok:sofa) AND (NOT oth:overlap:overlap75)) OR pre:tok:exercising),0,"Two women are embracing while holding to go packages .
","The sisters are hugging goodbye while holding to go packages after just eating lunch .
"
796,3,((((hyp:tok:swimming OR pre:tok:cook) OR hyp:tok:sofa) AND (NOT oth:overlap:overlap75)) OR pre:tok:exercising),270,"A couple bows their head as a man in a decorative robe reads from a scroll in Asia with a black late model station wagon in the background .
","A black late model station wagon is in the background .
"
796,4,(((((NOT pre:tok:blue) AND hyp:tok:blue) AND pre:tok:with) OR pre:tok:unicycle) OR hyp:tok:tattoo),89,"The two farmers are working on a piece of John Deere equipment .
","2 Men are making a pool together
"
796,4,(((((NOT pre:tok:blue) AND hyp:tok:blue) AND pre:tok:with) OR pre:tok:unicycle) OR hyp:tok:tattoo),744,"A man dressed in bright colored clothing is sitting on a chair on the sidewalk playing an instrument for cash .
","The man is dancing in the park .
"
798,1,((((NOT oth:overlap:overlap50) AND (hyp:tok:is OR pre:tok:in)) OR hyp:tok:to) OR hyp:tok:for),0,"Two women are embracing while holding to go packages .
","The sisters are hugging goodbye while holding to go packages after just eating lunch .
"
798,1,((((NOT oth:overlap:overlap50) AND (hyp:tok:is OR pre:tok:in)) OR hyp:tok:to) OR hyp:tok:for),1,"Two women are embracing while holding to go packages .
","Two woman are holding packages .
"
798,2,((((hyp:tok:for OR hyp:tok:to) OR hyp:tok:day) OR hyp:tok:he) AND (NOT hyp:tok:next)),71,"A taxi SUV drives past an urban construction site , as a man walks down the street in the other direction .
","A taxi SUV races to pick up some clients while a man walks peacefully in the other direction .
"
798,2,((((hyp:tok:for OR hyp:tok:to) OR hyp:tok:day) OR hyp:tok:he) AND (NOT hyp:tok:next)),919,"A man and a woman are jumping in midair and holding hands , a cloudy sky in the background .
","The man and woman are physically touching each other .
"
798,3,((((NOT pre:tok:to) AND (hyp:tok:for OR hyp:tok:to)) OR hyp:tok:tall) OR hyp:tok:friends),533,"A man with a hat , boots , and brown pants , is playing the violin outside in front of a black structure .
","A homeless man has stolen a child 's violin in order to fulfill his fantasy of joining the London Symphony Orchestra .
"
798,3,((((NOT pre:tok:to) AND (hyp:tok:for OR hyp:tok:to)) OR hyp:tok:tall) OR hyp:tok:friends),685,"a couple is walking down the sidewalk with their dog .
","A couple is outside with their dog .
"
798,4,((((hyp:tok:professional OR hyp:tok:tall) OR hyp:tok:trip) OR hyp:tok:championship) OR hyp:tok:way),270,"A couple bows their head as a man in a decorative robe reads from a scroll in Asia with a black late model station wagon in the background .
","A black late model station wagon is in the background .
"
6,1,((((NOT oth:overlap:overlap25) AND (hyp:tok:is OR pre:tok:one)) OR hyp:tok:they) OR pre:tok:stage),1,"Two women are embracing while holding to go packages .
","Two woman are holding packages .
"
6,1,((((NOT oth:overlap:overlap25) AND (hyp:tok:is OR pre:tok:one)) OR hyp:tok:they) OR pre:tok:stage),2,"Two women are embracing while holding to go packages .
","The men are fighting outside a deli .
"
6,2,(((((NOT oth:overlap:overlap25) AND hyp:tok:is) AND (NOT pre:tok:by)) OR hyp:tok:tall) OR hyp:tok:they),133,"Men stand on steps leading out of a body of water
","Men are sitting outside near a golf course .
"
6,2,(((((NOT oth:overlap:overlap25) AND hyp:tok:is) AND (NOT pre:tok:by)) OR hyp:tok:tall) OR hyp:tok:they),213,"A man waterskies with a life jacket .
","Hitler rides a jetski in this Kawasaki advertisement .
"
6,3,((((hyp:tok:best OR hyp:tok:tall) OR pre:tok:groom) OR pre:tok:mother) OR pre:tok:match),71,"A taxi SUV drives past an urban construction site , as a man walks down the street in the other direction .
","A taxi SUV races to pick up some clients while a man walks peacefully in the other direction .
"
6,3,((((hyp:tok:best OR hyp:tok:tall) OR pre:tok:groom) OR pre:tok:mother) OR pre:tok:match),261,"Four guys with guns and army gear .
","The four guys are in the army .
"
6,4,((((hyp:tok:halloween OR hyp:tok:tall) OR pre:tok:cherry) AND (NOT pre:tok:to)) OR hyp:tok:poor),0,"Two women are embracing while holding to go packages .
","The sisters are hugging goodbye while holding to go packages after just eating lunch .
"
6,4,((((hyp:tok:halloween OR hyp:tok:tall) OR pre:tok:cherry) AND (NOT pre:tok:to)) OR hyp:tok:poor),70,"A taxi SUV drives past an urban construction site , as a man walks down the street in the other direction .
","An SUV and a man are going in opposite directions .
"
